code,category,category_name,item,label,check_description,notes,source,version,effective_date
A1,A,Tower/Mast,1,Galvanizing discoloration,Is there reddish/whitish discoloration?,Galvanizing group,DST 34-1441 Annex C,1,2013-02-01
A2,A,Tower/Mast,2,Partial or whole rust,Are the whole members or only a portion showing rust?,Galvanizing group,DST 34-1441 Annex C,1,2013-02-01
A3,A,Tower/Mast,3,Metal corroded away,Does the metal appear to be corroded away?,Galvanizing group,DST 34-1441 Annex C,1,2013-02-01
A4,A,Tower/Mast,4,Rust streaking off bolts,Is there rust streaking off the bolts?,Galvanizing group,DST 34-1441 Annex C,1,2013-02-01
A5,A,Tower/Mast,5,Galvanizing sandblasted,Does the galvanizing appear to be sandblasted?,Galvanizing group,DST 34-1441 Annex C,1,2013-02-01
A6,A,Tower/Mast,6,UNSPECIFIED,Item 6 not legible in source copy,Verify against current 240-138196972 when obtained,DST 34-1441 Annex C,1,2013-02-01
A7,A,Tower/Mast,7,Foundation subsiding,Is there any subsiding at the foundation?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A8,A,Tower/Mast,8,Erosion at footing,Is there any erosion at the footing?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A9,A,Tower/Mast,9,Erosion approaching tower,Is any erosion getting close to the tower?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A10,A,Tower/Mast,10,Concrete height above ground,Is the concrete 150 mm above ground level?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A11,A,Tower/Mast,11,Soil over concrete foundation,Is there sand/soil over the concrete foundation?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A12,A,Tower/Mast,12,Hairline cracks footing/benching,Are there any hairline cracks on the footing/benching?,Foundations group,DST 34-1441 Annex C,1,2013-02-01
A13,A,Tower/Mast,13,Loose members,Look for loose members; if none seen hit structure with rubber mallet and listen for bolt ringing,Members group,DST 34-1441 Annex C,1,2013-02-01
A14,A,Tower/Mast,14,Missing members,Are there missing members?,Members group,DST 34-1441 Annex C,1,2013-02-01
A15,A,Tower/Mast,15,Bottom members bent/damaged,Are the bottom members bent or damaged?,Members group,DST 34-1441 Annex C,1,2013-02-01
